CROWNU,CROWN FEEDS (PVT) LTD.,,,,,,,,,,,,,,,,,
SSW099795,"480M COLOMBO, SRI 100",,93.741,4,07/15/22,08/31/22,6887992651,LOS,COLOMBO,SEATRADE,CMA CGM,0TUOCW,0.000,0,93.741,4,09/03/22,10/10/22
"",LANKA,,,,,,,"ANGELES, CA",,"INTERNATIONAL,",MEXICO,1MA,,,,,,
"",,,,,,,,,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,93.741,4,,
"",,,,,,,,,,,,,,,,,,
MFFEEDT,M F FEED'S (PVT) LTD,,,,,,,,,,,,,,,,,
SSW099796,"480M COLOMBO, SRI 100",,93.550,4,07/15/22,08/31/22,6887992651,LOS,COLOMBO,SEATRADE,CMA CGM,0TUOCW,0.000,0,93.550,4,09/03/22,10/10/22
"",LANKA,,,,,,,"ANGELES, CA",,"INTERNATIONAL,",MEXICO,1MA,,,,,,
"",,,,,,,,,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,93.550,4,,
NOMANSI,NOMANBHOY & SONS PTE. LTD.,,,,,,,,,,,,,,,,,
SSW100065,"480M COLOMBO, SRI",500,494.072,19,07/01/22,08/15/22,6337717570,"VANCOUVER,",COLOMBO,GTRANS USA INC,COSCO ASIA,084S,0.000,0,104.328,4,07/28/22,10/05/22
"",LANKA,,,,,,,BC,,,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,104.328,4,,
"",,,,,,,,,,,,,,,,,,
NOMANSI,NOMANBHOY & SONS PTE. LTD.,,,,,,,,,,,,,,,,,
SSW100308,"480M COLOMBO, SRI",500,469.539,20,07/15/22,08/31/22,6888055071,LOS,COLOMBO,SEATRADE,CMA CGM,0TUO8W1,0.000,0,70.281,3,08/23/22,09/26/22
"",LANKA,,,,,,,"ANGELES, CA",,"INTERNATIONAL,",PANAMA,MA,,,,,,
"",,,,,,,,,,INC.,,,,,,,,
"",,,,,,,6888112110,LOS,COLOMBO,SEATRADE,CMA CGM,0TUOCW,0.000,0,117.155,5,09/03/22,10/03/22
"",,,,,,,,"ANGELES, CA",,"INTERNATIONAL,",MEXICO,1MA,,,,,,
"",,,,,,,,,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,187.436,8,,
"",,,,,,,,,,,,,,,,,,
CROWNU,CROWN FEEDS (PVT) LTD.,,,,,,,,,,,,,,,,,
SSW100741,"480M COLOMBO, SRI",75,70.534,3,07/15/22,08/31/22,6887992651,LOS,COLOMBO,SEATRADE,CMA CGM,0TUOCW,0.000,0,70.534,3,09/03/22,10/10/22
"",LANKA,,,,,,,"ANGELES, CA",,"INTERNATIONAL,",MEXICO,1MA,,,,,,
"",,,,,,,,,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,70.534,3,,
"",,,,,,,,,,,,,,,,,,
MONACO,MONAMI FREIGHTERS PVT LTD,,,,,,,,,,,,,,,,,
SSW100945,"480M COLOMBO, SRI",50,0.000,2,07/15/22,08/31/22,6888916860,LOS,COLOMBO,SEATRADE,CMA CGM,0TUP0W1,52.000,2,0.000,0,10/11/22,11/08/22
"",LANKA,,,,,,,"ANGELES, CA",,"INTERNATIONAL,",UNITY,MA,,,,,,
"",,,,,,,,,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,52.000,2,0.000,0,,
"",,,,,,,,,,,,,,,,,,
AGROWA,AGRO NUTRITION (PVT) LIMITED,,,,,,,,,,,,,,,,,
SSW104030,"480M COLOMBO, SRI",50,46.811,2,08/15/22,09/15/22,6888916850,LOS,COLOMBO,SEATRADE,CMA CGM,0TUOOW,0.000,0,23.387,1,09/24/22,10/17/22
"",LANKA,,,,,,,"ANGELES, CA",,"INTERNATIONAL,",CHILE,1MA,,,,,,
"",,,,,,,,,,INC.,,,,,,,,
"",,,,,,,6888916851,LOS,COLOMBO,SEATRADE,CMA CGM A.,0TUOSW,0.000,0,23.424,1,10/03/22,11/07/22
"",,,,,,,,"ANGELES, CA",,"INTERNATIONAL,",LINCOLN,1MA,,,,,,
"",,,,,,,,,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,46.811,2,,
"",,,,,,,,,,,,,,,,,,
MFFEEDT,M F FEED'S (PVT) LTD,,,,,,,,,,,,,,,,,
SSW104031,"480M COLOMBO, SRI",300,304.301,13,08/15/22,09/15/22,6342503700,LONG,COLOMBO,GTRANS USA INC,COSCO,090W,0.000,0,304.301,13,10/03/22,11/10/22
"",LANKA,,,,,,,"BEACH,CA",,,KAOHSIUNG,,,,,,,
"",,,,,,,Booking Total,,,,,,0.000,0,304.301,13,,
"",,,,,,,,,,,,,,,,,,
TEMPOPA,TEMPO ESTATE AGRO PVT. LTD.,,,,,,,,,,,,,,,,,
SSW104363,"480M COLOMBO, SRI",80,0.000,3,09/01/22,09/30/22,6888916860,LOS,COLOMBO,SEATRADE,CMA CGM,0TUP0W1,78.000,3,0.000,0,10/11/22,11/08/22
"",LANKA,,,,,,,"ANGELES, CA",,"INTERNATIONAL,",UNITY,MA,,,,,,
"",,,,,,,,,,INC.,,,,,,,,
"",,,,,,,Booking Total,,,,,,78.000,3,0.000,0,,
